1, 1836, 90, 9
2, 592, 56, 2
3, 1270, 60, 5
4, 1540, 76, 14
5, 1409, 37, 7
6, 1231, 14, 1
7, 1472, 10, 18
8, 1696, 17, 14
9, 1018, 6, 2
10, 145, 61, 17
11, 30, 24, 6
12, 800, 57, 2
13, 1775, 87, 14
14, 1258, 21, 12
15, 929, 87, 6
16, 297, 55, 9
17, 788, 53, 18
18, 1842, 26, 7
19, 768, 54, 3
20, 865, 9, 3
21, 1553, 69, 4
22, 473, 3, 4
23, 524, 49, 4
24, 1595, 60, 5
25, 1071, 66, 5
26, 176, 42, 20
27, 14, 21, 2
28, 1181, 69, 15
29, 1364, 25, 6
30, 34, 87, 1
31, 1914, 5, 4
32, 1680, 58, 13
33, 873, 40, 2
34, 1744, 21, 9
35, 275, 80, 10
36, 900, 37, 18
37, 774, 63, 18
38, 246, 49, 13
39, 1733, 2, 20
40, 942, 86, 16
41, 1492, 25, 11
42, 1375, 49, 17
43, 651, 57, 15
44, 705, 35, 2
45, 1269, 34, 11
46, 1640, 19, 2
47, 1822, 12, 14
48, 1970, 52, 8
49, 468, 80, 15
50, 619, 100, 1
51, 356, 35, 4
52, 1734, 3, 5
53, 1580, 3, 12
54, 1653, 51, 7
55, 1838, 18, 8
56, 659, 52, 17
57, 1285, 90, 16
58, 1058, 53, 9
59, 1547, 90, 16
60, 853, 12, 11
61, 1130, 61, 20
62, 1788, 94, 20
63, 287, 3, 17
64, 1110, 76, 1
65, 1787, 64, 6
66, 743, 38, 4
67, 1714, 16, 20
68, 627, 78, 3
69, 1787, 39, 3
70, 873, 9, 14
71, 14, 85, 12
72, 245, 64, 2
73, 972, 29, 7
74, 1772, 45, 2
75, 907, 69, 12
76, 1452, 30, 17
77, 1798, 24, 19
78, 537, 68, 11
79, 1203, 66, 19
80, 168, 5, 10
81, 303, 70, 1
82, 1936, 19, 2
83, 335, 64, 3
84, 104, 82, 11
85, 1995, 5, 5
86, 1367, 40, 20
87, 62, 54, 16
88, 861, 34, 20
89, 674, 42, 8
90, 260, 17, 15
91, 917, 72, 11
92, 1971, 3, 15
93, 1186, 23, 14
94, 1273, 18, 10
95, 268, 64, 5
96, 68, 22, 18
97, 243, 28, 2
98, 1490, 35, 2
99, 1904, 60, 18
100, 1425, 64, 9
101, 1310, 34, 17
102, 1301, 69, 7
103, 870, 13, 8
104, 1596, 84, 4
105, 1277, 43, 6
106, 1688, 76, 1
107, 1781, 18, 12
108, 352, 32, 16
109, 1490, 15, 15
110, 600, 79, 3
111, 10, 28, 1
112, 1035, 77, 18
113, 91, 78, 14
114, 1715, 47, 18
115, 589, 67, 17
116, 1735, 84, 12
117, 1703, 88, 19
118, 1250, 35, 8
119, 501, 33, 10
120, 1214, 52, 13
121, 301, 54, 4
122, 217, 12, 8
123, 1649, 76, 5
124, 1778, 72, 13
125, 616, 78, 4
126, 1562, 9, 20
127, 904, 86, 8
128, 671, 42, 13
129, 962, 83, 12
130, 29, 95, 3
131, 537, 42, 6
132, 1583, 52, 9
133, 1491, 100, 5
134, 1226, 18, 18
135, 729, 27, 15
136, 1294, 99, 11
137, 1104, 65, 15
138, 1785, 21, 6
139, 1950, 24, 18
140, 1575, 57, 1
141, 1416, 96, 19
142, 311, 46, 4
143, 1011, 95, 12
144, 391, 33, 13
145, 76, 70, 13
146, 311, 34, 20
147, 336, 60, 14
148, 1079, 79, 2
149, 1919, 91, 7
150, 268, 2, 1
151, 396, 41, 11
152, 1103, 25, 10
153, 1502, 31, 3
154, 1489, 4, 3
155, 116, 42, 5
156, 1349, 57, 12
157, 396, 19, 2
158, 1833, 88, 18
159, 222, 93, 3
160, 61, 29, 19
161, 717, 84, 10
162, 1240, 49, 19
163, 1502, 15, 19
164, 100, 38, 3
165, 1337, 75, 3
166, 387, 93, 11
167, 1167, 93, 17
168, 451, 75, 12
169, 1476, 15, 8
170, 341, 14, 19
171, 517, 97, 10
172, 1902, 96, 1
173, 1862, 74, 2
174, 437, 63, 20
175, 908, 15, 7
176, 1323, 91, 18
177, 619, 64, 5
178, 453, 5, 7
179, 662, 96, 20
180, 1919, 42, 9
181, 1289, 25, 7
182, 1835, 17, 11
183, 1499, 72, 13
184, 155, 51, 16
185, 1367, 37, 14
186, 798, 9, 5
187, 1490, 15, 19
188, 1057, 3, 17
189, 943, 87, 9
190, 119, 59, 1
191, 966, 80, 20
192, 1609, 63, 7
193, 1089, 53, 11
194, 360, 33, 2
195, 388, 10, 19
196, 1534, 80, 17
197, 60, 36, 9
198, 1031, 42, 1
199, 1471, 27, 7
200, 686, 8, 13
201, 81, 63, 18
202, 651, 17, 8
203, 1451, 40, 2
204, 801, 55, 4
205, 1801, 25, 2
206, 216, 29, 6
207, 1498, 76, 8
208, 208, 96, 11
209, 615, 41, 7
210, 877, 58, 20
211, 508, 36, 15
212, 1312, 67, 6
213, 1813, 5, 19
214, 1878, 7, 16
215, 573, 31, 20
216, 1535, 75, 19
217, 290, 65, 7
218, 995, 100, 7
219, 483, 37, 1
220, 1743, 79, 18
221, 543, 10, 16
222, 40, 47, 3
223, 1704, 75, 3
224, 1263, 13, 8
225, 163, 29, 12
226, 773, 93, 20
227, 905, 60, 13
228, 152, 45, 18
229, 689, 58, 8
230, 256, 8, 6
231, 299, 62, 11
232, 1415, 55, 20
233, 399, 78, 6
234, 1808, 100, 10
235, 683, 25, 17
236, 956, 42, 7
237, 720, 73, 1
238, 729, 83, 16
239, 504, 4, 20
240, 1533, 32, 1
241, 1929, 76, 14
242, 435, 76, 3
243, 350, 76, 7
244, 502, 63, 8
245, 195, 25, 20
246, 1249, 67, 11
247, 945, 10, 15
248, 531, 62, 18
249, 1390, 61, 18
250, 1855, 61, 19
251, 1531, 11, 20
252, 1129, 85, 6
253, 329, 82, 19
254, 1623, 13, 4
255, 1133, 48, 12
256, 88, 79, 9
257, 1368, 60, 18
258, 779, 18, 13
259, 96, 100, 19
260, 708, 59, 16
261, 774, 45, 4
262, 1640, 59, 7
263, 36, 62, 6
264, 1560, 77, 18
265, 1527, 35, 8
266, 1599, 43, 9
267, 1320, 17, 5
268, 1060, 91, 17
269, 1824, 71, 13
270, 423, 63, 18
271, 828, 81, 19
272, 1618, 40, 3
273, 671, 85, 18
274, 939, 25, 16
275, 1280, 72, 11
276, 910, 89, 16
277, 1004, 60, 20
278, 1911, 51, 10
279, 1570, 37, 18
280, 1588, 19, 15
281, 1188, 43, 19
282, 658, 57, 3
283, 1649, 45, 10
284, 1778, 80, 16
285, 1154, 29, 10
286, 656, 44, 9
287, 417, 60, 18
288, 40, 91, 9
289, 21, 23, 14
290, 110, 63, 20
291, 49, 3, 5
292, 611, 96, 7
293, 321, 94, 1
294, 766, 44, 10
295, 1826, 87, 15
296, 1206, 74, 16
297, 1558, 97, 10
298, 934, 69, 11
299, 1836, 59, 12
300, 1480, 67, 15
301, 733, 43, 7
302, 1305, 31, 12
303, 1934, 87, 17
304, 670, 40, 18
305, 1258, 27, 9
306, 1664, 70, 15
307, 315, 4, 8
308, 1249, 47, 1
309, 1559, 79, 6
310, 1698, 54, 8
311, 548, 87, 18
312, 1994, 2, 1
313, 238, 98, 17
314, 1643, 28, 8
315, 1273, 2, 10
316, 656, 79, 18
317, 322, 64, 18
318, 690, 90, 8
319, 1989, 42, 13
320, 158, 15, 8
321, 1443, 81, 16
322, 958, 19, 8
323, 1976, 95, 10
324, 236, 59, 20
325, 1532, 84, 19
326, 154, 44, 4
327, 949, 77, 17
328, 1542, 14, 4
329, 113, 36, 9
330, 669, 74, 9
331, 524, 76, 4
332, 1989, 60, 18
333, 948, 92, 4
334, 351, 84, 20
335, 687, 51, 5
336, 144, 7, 16
337, 809, 10, 9
338, 689, 8, 11
339, 1079, 12, 20
340, 1103, 82, 18
341, 537, 83, 19
342, 1303, 45, 18
343, 483, 44, 10
344, 904, 87, 3
345, 1397, 54, 14
346, 1462, 73, 5
347, 1883, 20, 4
348, 1726, 38, 18
349, 642, 95, 11
350, 1380, 71, 4
351, 203, 44, 6
352, 1464, 98, 9
353, 486, 65, 11
354, 89, 78, 15
355, 1788, 32, 6
356, 1879, 27, 1
357, 646, 77, 16
358, 1915, 5, 16
359, 358, 53, 12
360, 1397, 46, 14
361, 614, 20, 6
362, 1411, 94, 10
363, 1017, 6, 9
364, 1513, 3, 20
365, 1586, 92, 3
366, 103, 50, 1
367, 1971, 13, 3
368, 440, 36, 10
369, 215, 29, 10
370, 1040, 49, 2
371, 1004, 80, 17
372, 88, 91, 18
373, 837, 88, 11
374, 1754, 75, 2
375, 1327, 9, 14
376, 1572, 42, 15
377, 313, 38, 12
378, 1119, 88, 11
379, 1973, 96, 13
380, 1659, 85, 1
381, 691, 52, 13
382, 439, 6, 15
383, 91, 83, 8
384, 444, 77, 1
385, 782, 64, 10
386, 1675, 59, 5
387, 723, 59, 3
388, 1541, 39, 16
389, 1914, 84, 17
390, 1807, 81, 13
391, 252, 96, 20
392, 1971, 25, 12
393, 774, 68, 11
394, 29, 11, 17
395, 1828, 43, 13
396, 296, 44, 16
397, 959, 82, 10
398, 1538, 70, 14
399, 231, 5, 7
400, 313, 4, 8
401, 202, 64, 12
402, 1458, 70, 16
403, 976, 48, 2
404, 1420, 75, 8
405, 265, 62, 13
406, 1542, 93, 5
407, 414, 73, 17
408, 1909, 34, 12
409, 1047, 54, 4
410, 839, 11, 15
411, 844, 15, 8
412, 141, 32, 13
413, 1600, 3, 17
414, 166, 67, 9
415, 1935, 13, 10
416, 1585, 87, 11
417, 1991, 20, 10
418, 471, 70, 2
419, 432, 14, 17
420, 1378, 47, 4
421, 942, 61, 4
422, 690, 56, 16
423, 1770, 20, 8
424, 1757, 92, 20
425, 1507, 82, 4
426, 1873, 53, 19
427, 814, 78, 6
428, 1576, 65, 9
429, 790, 98, 12
430, 687, 56, 16
431, 723, 61, 7
432, 1829, 6, 9
433, 975, 46, 17
434, 880, 72, 16
435, 1964, 88, 7
436, 1621, 54, 17
437, 1695, 80, 19
438, 1089, 39, 20
439, 354, 16, 3
440, 622, 76, 5
441, 1511, 93, 13
442, 1458, 63, 2
443, 302, 13, 19
444, 1346, 95, 4
445, 123, 69, 12
446, 642, 49, 15
447, 139, 79, 7
448, 188, 52, 13
449, 1907, 6, 7
450, 1035, 5, 12
451, 895, 32, 17
452, 1717, 35, 12
453, 868, 28, 16
454, 582, 89, 3
455, 464, 50, 5
456, 54, 84, 12
457, 180, 99, 15
458, 1884, 13, 19
459, 1097, 58, 20
460, 1243, 77, 19
461, 878, 61, 9
462, 1876, 1, 15
463, 214, 1, 10
464, 195, 91, 9
465, 1309, 83, 7
466, 970, 47, 10
467, 947, 18, 7
468, 549, 7, 18
469, 41, 27, 17
470, 1937, 59, 7
471, 726, 71, 5
472, 1116, 93, 9
473, 514, 38, 9
474, 1303, 55, 13
475, 322, 75, 18
476, 455, 26, 15
477, 121, 20, 18
478, 1066, 59, 17
479, 490, 45, 7
480, 555, 14, 15
