1, 2019/11/22, 14:31:39, 1, 1
2, 2018/08/05, 11:13:50, 2, 2
3, 2000/01/07, 15:15:2, 3, 3
4, 2006/09/29, 17:46:53, 4, 4
5, 2005/05/10, 0:10:41, 5, 5
6, 2019/07/21, 10:51:14, 6, 6
7, 2001/11/19, 17:40:46, 7, 7
8, 2004/05/09, 15:7:34, 8, 8
9, 2017/04/29, 9:38:36, 9, 9
10, 2008/09/07, 16:7:34, 10, 10
11, 2008/12/16, 0:23:24, 11, 11
12, 2008/03/27, 5:34:60, 12, 12
13, 2009/11/02, 14:44:21, 13, 13
14, 2002/01/27, 10:5:1, 14, 14
15, 2006/03/05, 0:38:49, 15, 15
16, 2003/10/12, 23:34:60, 16, 16
17, 2007/02/05, 9:43:35, 17, 17
18, 2008/11/15, 1:2:17, 18, 18
19, 2007/03/11, 13:30:39, 19, 19
20, 2011/01/22, 20:33:5, 20, 20
21, 2013/05/08, 17:38:32, 21, 21
22, 2012/12/05, 4:25:1, 22, 22
23, 2000/05/10, 15:36:3, 23, 23
24, 2008/06/07, 0:6:57, 24, 24
25, 2011/04/25, 11:43:42, 25, 25
26, 2012/12/30, 3:32:35, 26, 26
27, 2003/12/22, 8:38:31, 27, 27
28, 2011/04/07, 16:58:14, 28, 28
29, 2017/04/14, 4:53:7, 29, 29
30, 2015/10/11, 11:58:19, 30, 30
31, 2017/04/05, 15:48:53, 31, 31
32, 2014/04/22, 5:42:49, 32, 32
33, 2015/05/30, 19:0:43, 33, 33
34, 2009/09/24, 17:9:40, 34, 34
35, 2011/11/15, 3:48:48, 35, 35
36, 2018/09/15, 20:43:58, 36, 36
37, 2011/11/15, 21:43:33, 37, 37
38, 2007/03/17, 0:50:16, 38, 38
39, 2016/05/18, 19:50:8, 39, 39
40, 2009/02/09, 7:60:10, 40, 40
41, 2002/08/18, 10:10:35, 41, 41
42, 2009/07/19, 10:53:31, 42, 42
43, 2004/12/24, 11:40:17, 43, 43
44, 2011/01/10, 18:30:49, 44, 44
45, 2002/11/02, 5:20:0, 45, 45
46, 2019/01/15, 5:32:38, 46, 46
47, 2015/07/22, 11:13:35, 47, 47
48, 2014/09/14, 24:1:25, 48, 48
49, 2007/09/11, 10:22:7, 49, 49
50, 2005/01/09, 20:30:45, 50, 50
51, 2001/04/29, 9:58:55, 51, 51
52, 2012/09/15, 8:46:47, 52, 52
53, 2002/03/31, 0:56:40, 53, 53
54, 2000/10/03, 0:10:49, 54, 54
55, 2011/08/07, 21:42:15, 55, 55
56, 2012/04/18, 3:7:27, 56, 56
57, 2004/01/04, 24:27:45, 57, 57
58, 2009/09/19, 23:8:21, 58, 58
59, 2019/09/14, 8:9:29, 59, 59
60, 2007/06/14, 4:40:23, 60, 60
61, 2006/06/02, 9:26:45, 61, 61
62, 2017/11/13, 11:56:37, 62, 62
63, 2014/11/09, 10:50:18, 63, 63
64, 2014/07/04, 12:6:37, 64, 64
65, 2002/07/25, 11:3:8, 65, 65
66, 2005/02/09, 24:32:58, 66, 66
67, 2007/11/04, 20:0:42, 67, 67
68, 2010/08/02, 7:57:23, 68, 68
69, 2015/03/10, 9:49:36, 69, 69
70, 2017/10/27, 12:57:18, 70, 70
71, 2000/11/04, 23:50:4, 71, 71
72, 2019/05/31, 15:50:24, 72, 72
73, 2013/11/09, 2:51:1, 73, 73
74, 2016/05/03, 17:10:35, 74, 74
75, 2013/11/07, 0:50:26, 75, 75
76, 2006/04/29, 11:28:8, 76, 76
77, 2005/08/28, 11:11:6, 77, 77
78, 2018/01/31, 13:57:26, 78, 78
79, 2001/08/20, 17:38:26, 79, 79
80, 2019/11/07, 23:53:45, 80, 80
81, 2003/05/21, 24:13:20, 81, 81
82, 2002/07/22, 19:55:3, 82, 82
83, 2008/08/14, 2:52:4, 83, 83
