Sales Date: 2000/01/01 Total Sales: 1
Sales Date: 2000/01/03 Total Sales: 1
Sales Date: 2000/01/07 Total Sales: 1
Sales Date: 2000/01/11 Total Sales: 1
Sales Date: 2000/01/16 Total Sales: 1
Sales Date: 2000/01/22 Total Sales: 1
Sales Date: 2000/01/26 Total Sales: 1
Sales Date: 2000/01/28 Total Sales: 2
Sales Date: 2000/01/29 Total Sales: 2
Sales Date: 2000/01/30 Total Sales: 1
Sales Date: 2000/02/02 Total Sales: 1
Sales Date: 2000/02/17 Total Sales: 2
Sales Date: 2000/02/23 Total Sales: 1
Sales Date: 2000/02/26 Total Sales: 1
Sales Date: 2000/03/03 Total Sales: 1
Sales Date: 2000/03/05 Total Sales: 1
Sales Date: 2000/03/08 Total Sales: 1
Sales Date: 2000/03/09 Total Sales: 1
Sales Date: 2000/03/22 Total Sales: 1
Sales Date: 2000/03/30 Total Sales: 2
Sales Date: 2000/03/31 Total Sales: 1
Sales Date: 2000/04/01 Total Sales: 1
Sales Date: 2000/04/07 Total Sales: 1
Sales Date: 2000/04/09 Total Sales: 1
Sales Date: 2000/04/12 Total Sales: 1
Sales Date: 2000/04/14 Total Sales: 1
Sales Date: 2000/04/19 Total Sales: 1
Sales Date: 2000/04/25 Total Sales: 1
Sales Date: 2000/05/02 Total Sales: 1
Sales Date: 2000/05/07 Total Sales: 1
Sales Date: 2000/05/10 Total Sales: 1
Sales Date: 2000/05/13 Total Sales: 1
Sales Date: 2000/05/22 Total Sales: 1
Sales Date: 2000/05/26 Total Sales: 1
Sales Date: 2000/06/07 Total Sales: 1
Sales Date: 2000/06/13 Total Sales: 1
Sales Date: 2000/06/16 Total Sales: 1
Sales Date: 2000/06/21 Total Sales: 1
Sales Date: 2000/06/22 Total Sales: 1
Sales Date: 2000/06/26 Total Sales: 1
Sales Date: 2000/06/29 Total Sales: 1
Sales Date: 2000/06/30 Total Sales: 1
Sales Date: 2000/07/01 Total Sales: 1
Sales Date: 2000/07/03 Total Sales: 1
Sales Date: 2000/07/11 Total Sales: 1
Sales Date: 2000/07/15 Total Sales: 1
Sales Date: 2000/07/19 Total Sales: 1
Sales Date: 2000/07/21 Total Sales: 1
Sales Date: 2000/07/22 Total Sales: 1
Sales Date: 2000/07/25 Total Sales: 1
Sales Date: 2000/08/07 Total Sales: 1
Sales Date: 2000/08/08 Total Sales: 2
Sales Date: 2000/08/09 Total Sales: 1
Sales Date: 2000/08/10 Total Sales: 2
Sales Date: 2000/08/12 Total Sales: 1
Sales Date: 2000/08/19 Total Sales: 1
Sales Date: 2000/08/20 Total Sales: 1
Sales Date: 2000/08/22 Total Sales: 2
Sales Date: 2000/08/29 Total Sales: 1
Sales Date: 2000/08/30 Total Sales: 1
Sales Date: 2000/08/31 Total Sales: 1
Sales Date: 2000/09/04 Total Sales: 1
Sales Date: 2000/09/07 Total Sales: 2
Sales Date: 2000/09/09 Total Sales: 1
Sales Date: 2000/09/10 Total Sales: 1
Sales Date: 2000/09/11 Total Sales: 1
Sales Date: 2000/09/18 Total Sales: 1
Sales Date: 2000/09/28 Total Sales: 2
Sales Date: 2000/09/29 Total Sales: 1
Sales Date: 2000/09/30 Total Sales: 1
Sales Date: 2000/10/02 Total Sales: 1
Sales Date: 2000/10/03 Total Sales: 2
Sales Date: 2000/10/08 Total Sales: 1
Sales Date: 2000/10/10 Total Sales: 2
Sales Date: 2000/10/13 Total Sales: 1
Sales Date: 2000/10/20 Total Sales: 1
Sales Date: 2000/10/23 Total Sales: 1
Sales Date: 2000/10/24 Total Sales: 1
Sales Date: 2000/10/27 Total Sales: 1
Sales Date: 2000/11/01 Total Sales: 1
Sales Date: 2000/11/02 Total Sales: 1
Sales Date: 2000/11/04 Total Sales: 2
Sales Date: 2000/11/05 Total Sales: 2
Sales Date: 2000/11/06 Total Sales: 1
Sales Date: 2000/11/07 Total Sales: 1
Sales Date: 2000/11/10 Total Sales: 2
Sales Date: 2000/11/11 Total Sales: 1
Sales Date: 2000/11/14 Total Sales: 1
Sales Date: 2000/11/18 Total Sales: 1
Sales Date: 2000/11/20 Total Sales: 1
Sales Date: 2000/11/25 Total Sales: 1
Sales Date: 2000/12/01 Total Sales: 1
Sales Date: 2000/12/02 Total Sales: 1
Sales Date: 2000/12/07 Total Sales: 1
Sales Date: 2000/12/08 Total Sales: 1
Sales Date: 2000/12/11 Total Sales: 2
Sales Date: 2000/12/31 Total Sales: 1
Sales Date: 2001/01/02 Total Sales: 1
Sales Date: 2001/01/05 Total Sales: 1
Sales Date: 2001/01/07 Total Sales: 1
Sales Date: 2001/01/22 Total Sales: 1
Sales Date: 2001/01/23 Total Sales: 1
