2000/01/06 01:49:49 1320
2000/01/08 01:11:50 815
2000/01/09 13:13:27 1309
2000/01/10 22:51:21 1661
2000/01/11 23:25:34 972
2000/01/12 14:58:29 869
2000/01/13 13:07:07 175
2000/01/23 08:01:46 1675
2000/01/28 16:32:15 277
2000/01/29 00:34:54 234
2000/02/03 05:52:23 91, 15:41:00 1669, 05:46:42 1810
2000/02/11 11:22:55 1304
2000/02/12 23:08:12 1557
2000/02/17 00:02:39 1877
2000/02/28 02:05:32 801
2000/03/11 22:54:55 109
2000/03/22 14:07:50 204
2000/03/24 22:41:25 1742
2000/03/27 07:18:31 217
2000/03/30 03:40:14 208
2000/03/31 13:46:39 707
2000/04/01 06:01:02 1765
2000/04/09 08:27:34 151
2000/04/13 10:21:31 1731
2000/04/16 21:19:12 2
2000/05/06 07:47:37 740, 07:03:49 1281
2000/05/09 20:53:50 107
2000/05/17 09:12:22 946
2000/05/21 04:38:01 999
2000/05/24 04:22:09 1093
2000/05/27 10:25:19 1624
2000/05/29 05:40:32 1641
2000/05/31 00:37:11 131
2000/06/05 08:39:35 1273
2000/06/08 21:20:51 247
2000/06/10 15:49:00 1508
2000/06/16 05:16:34 888
2000/06/18 18:32:12 756
2000/06/23 06:08:05 651
2000/06/24 15:54:09 11, 14:22:21 1079
2000/06/25 11:51:18 822
2000/06/26 00:17:27 290
2000/07/01 12:51:02 717
2000/07/05 14:30:46 1171
2000/07/14 21:35:48 661
2000/07/15 02:46:20 117
2000/07/23 09:05:21 930
2000/07/29 23:59:37 1701
2000/08/03 04:53:60 1690
2000/08/26 17:05:48 608
2000/08/27 23:54:26 1644, 11:43:41 1754
2000/09/05 16:45:54 1344
2000/09/13 09:04:59 334
2000/09/16 07:32:13 1441, 12:47:53 1537
2000/09/17 16:03:22 50
2000/09/19 20:41:52 1021
2000/09/20 01:35:43 1728
2000/09/28 17:52:52 449
2000/10/03 04:24:18 1474, 06:27:42 1958
2000/10/08 19:51:08 932
2000/10/10 12:14:08 1791
2000/10/11 07:02:47 159, 14:24:52 615
2000/10/15 09:57:46 758
2000/10/19 09:04:29 1408
2000/10/22 11:10:08 245
2000/10/25 18:05:20 161
2000/10/26 07:18:29 623
2000/10/30 00:40:22 187
2000/10/31 00:36:04 372
2000/11/06 12:18:52 1102
2000/11/17 03:54:47 515
2000/11/18 23:28:11 1128
2000/11/20 15:48:42 363, 22:15:53 1413
2000/11/23 20:34:40 1406
2000/11/25 08:23:24 1964
2000/11/30 12:17:54 526, 15:26:12 662
2000/12/12 05:24:09 244
2000/12/17 18:04:05 433, 11:56:35 831
2000/12/27 15:21:05 1501, 11:55:39 1778
2000/12/29 15:58:43 1395
2001/01/05 16:00:26 319, 22:30:54 715
2001/01/08 12:17:49 1470
2001/01/11 15:36:48 23
2001/01/12 24:55:55 1818
2001/01/14 21:07:51 735
2001/01/17 12:11:36 1363
2001/01/19 14:21:56 154
2001/01/21 23:26:37 962
2001/01/23 22:41:05 280, 14:54:58 728
2001/01/25 00:55:06 778
2001/01/26 07:40:11 1993
2001/01/28 01:58:29 1343
2001/01/31 13:01:28 1559
2001/02/04 15:32:08 1390
2001/02/07 11:05:43 892
2001/02/16 06:05:36 584
2001/02/17 17:48:34 941, 19:57:11 951
2001/02/23 17:39:28 450
2001/02/24 12:15:49 742
2001/02/28 11:47:56 487, 15:48:11 1811
2001/03/04 12:21:00 641
2001/03/15 15:44:11 915
2001/03/17 11:41:18 1431, 18:14:50 1753
2001/03/22 14:58:55 614
2001/03/24 11:09:49 817
2001/03/25 03:14:49 797
2001/03/30 11:35:54 1769
2001/04/05 00:01:02 1915
2001/04/14 21:40:48 1347
2001/04/22 02:58:05 1897
2001/04/29 11:38:52 1872
2001/04/30 11:32:55 1671
2001/05/02 24:05:40 1440
2001/05/05 09:19:01 627
2001/05/09 23:34:47 1566
2001/05/14 19:25:45 405, 17:48:21 1830
2001/05/18 07:23:45 493
2001/05/21 07:07:34 596
2001/05/27 03:19:18 855
2001/05/30 10:17:30 253
2001/06/04 12:51:30 403
2001/06/07 23:30:10 871
2001/06/08 05:49:08 771
2001/06/14 13:27:34 451
2001/06/19 23:03:45 1686
2001/06/24 11:22:02 949
2001/07/01 24:50:26 847
2001/07/12 21:49:59 1388
2001/07/20 19:54:09 1521
2001/07/22 17:19:44 691, 12:35:22 1377
2001/07/23 23:59:09 1692
2001/07/30 15:23:06 1428
2001/07/31 17:44:13 1287
2001/08/07 09:26:09 1481
2001/08/10 06:33:00 574
2001/08/17 08:12:06 256
2001/08/22 13:09:36 408
2001/08/23 01:52:20 787
2001/08/25 18:08:32 331
2001/09/04 18:02:06 750, 00:25:58 1878
2001/09/09 14:12:00 1735
2001/09/18 13:05:37 1064
2001/09/19 22:24:08 904
2001/09/26 21:27:58 1621
2001/10/02 21:17:38 1213
2001/10/04 17:37:50 973
2001/10/16 04:11:26 286
2001/10/17 17:01:52 1037
2001/10/24 15:44:59 744, 07:48:05 1832
2001/10/27 14:60:20 344
2001/10/29 19:00:31 34
2001/11/03 02:23:08 1197
2001/11/06 18:58:24 1633
2001/11/08 24:45:42 283
2001/11/11 23:13:31 1156, 09:20:15 1439
2001/11/14 15:08:27 547
2001/11/18 00:15:58 1892
2001/11/19 17:58:57 298
2001/11/22 21:30:30 1777
2001/11/25 17:05:06 1520
2001/11/29 09:30:21 226
2001/12/01 14:53:38 459
2001/12/09 17:28:53 1044
2001/12/12 22:25:47 1497
2001/12/13 08:26:24 1527
2001/12/17 16:34:17 1181
2001/12/19 02:52:04 1849
2001/12/21 18:51:51 202
2001/12/25 08:28:10 44
2001/12/26 09:07:25 610
2002/01/01 23:00:55 1677
2002/01/02 05:49:35 318, 23:33:30 1487
2002/01/10 06:16:60 194
2002/01/11 13:51:02 1801
2002/01/12 04:10:13 1727
2002/01/14 20:26:47 1530
2002/01/18 13:34:50 1933
2002/01/24 02:30:12 1182
2002/01/25 01:13:22 1014
